Date,Baku,Copenhagen,Bilbao,Munich,Dublin,London,Glasgow,Budapest,Bucharest,St. Petersburg,Rome,Amsterdam,EURO 2021
2020-03-06,10,67,17,43,33,91,87,31,75,12,82,21,569
2020-03-07,23,32,50,38,115,73,68,67,109,111,78,112,876
2020-03-08,36,66,85,96,133,136,99,73,51,127,61,114,1077
2020-03-09,39,51,52,95,131,112,80,82,80,110,100,136,1068
2020-03-10,78,157,157,143,170,101,173,113,107,96,89,100,1484
2020-03-11,111,175,179,119,197,139,133,197,133,136,130,190,1839
2020-03-12,138,193,145,188,226,167,210,146,205,181,206,209,2214
2020-03-13,170,244,236,253,178,178,252,206,231,247,261,173,2629
2020-03-14,260,334,295,306,268,280,291,314,296,312,284,321,3561
2020-03-15,360,452,426,452,400,411,371,442,374,371,365,388,4812
2020-03-16,410,463,459,466,415,475,460,433,429,492,472,423,5397
2020-03-17,525,601,555,621,619,531,546,562,597,612,538,549,6856
2020-03-18,656,706,752,739,734,744,714,699,683,755,700,730,8612
2020-03-19,790,822,815,874,818,828,837,880,861,802,839,860,10026
2020-03-20,851,919,934,877,946,929,879,888,851,896,852,941,10763
2020-03-24,980,1000,1056,1037,1033,1032,1034,1005,1058,1062,1039,1007,12343
