Date,Baku,Copenhagen,Bilbao,Munich,Dublin,London,Glasgow,Budapest,Bucharest,St. Petersburg,Rome,Amsterdam,EURO 2021
2020-03-06,10,30,23,79,14,105,13,49,37,44,87,87,578
2020-03-07,23,49,76,58,96,120,96,31,40,40,41,50,720
2020-03-08,36,77,64,91,108,89,129,91,47,44,36,38,850
2020-03-09,39,59,52,52,47,122,67,90,91,65,117,50,851
2020-03-10,78,98,105,106,161,177,143,178,112,153,154,130,1595
2020-03-11,111,131,182,199,167,192,176,209,177,157,199,131,2031
2020-03-12,138,176,150,184,227,212,201,226,173,193,233,154,2267
2020-03-13,170,171,172,182,225,261,221,256,228,211,197,223,2517
2020-03-14,260,295,316,330,313,355,349,263,343,322,310,324,3780
2020-03-15,360,379,385,413,387,382,406,426,406,430,436,394,4804
2020-03-16,410,459,463,461,493,495,461,481,457,507,501,506,5694
2020-03-17,525,585,623,545,579,624,534,580,594,582,531,597,6899
2020-03-18,656,736,723,680,699,745,665,705,691,751,711,739,8501
2020-03-19,790,830,809,817,836,841,832,884,887,801,843,861,10031
2020-03-20,851,933,943,861,860,920,896,927,942,943,864,909,10849
2020-03-24,980,1010,1070,1040,1005,1036,994,1016,1043,1054,1063,1039,12350
